title,filename,source,kind,published,words,quarter,eligible,notes,review
Kirk Cousins Wouldn’t Mentor Penix in Atlanta. Now He’s Getting $20 Million to Mentor Mendoza in Vegas.,008-mentor-myth.txt,published/008-mentor-myth.html,issue,2026-04-09,910,2026-Q2,yes,,
The Portal Freeze: A 35–40% Reduction in Transfers Will Reshape Who Wins College Football,009-eo-transfer-freeze.txt,published/009-eo-transfer-freeze.html,issue,2026-04-10,876,2026-Q2,yes,,
"College Football’s Gini Coefficient Is 0.37 — Worse Than MLB, Approaching US Income Inequality",eo-002-nil-gini.txt,published/eo-002-nil-gini.html,issue,2026-04-11,1821,2026-Q2,yes,,
"Fourteen Issues, Five Predictions, and the Truth : Our First Report Card",sunday-001.txt,published/sunday-001.html,issue,2026-04-12,1464,2026-Q2,yes,,
Notre Dame Is Simultaneously the Most Protected and Most Vulnerable Program in College Football,eo-003-notre-dame.txt,published/eo-003-notre-dame.html,issue,2026-04-13,2626,2026-Q2,yes,,
The Rule That Would Have Prevented Cignetti’s Miracle Now Protects What He Built,eo-004-cignetti.txt,published/eo-004-cignetti.html,issue,2026-04-14,2048,2026-Q2,yes,,
The Mets’ Pitching Isn’t the Problem. You’re Watching the Wrong Side of the Box Score.,018-mets-pitching-mirage.txt,published/018-mets-pitching-mirage.html,issue,2026-04-15,996,2026-Q2,yes,,
The Executive Order Isn’t Saving College Sports. It’s Restoring the Old Guard — With One Dangerous Asterisk.,eo-005-big-picture.txt,published/eo-005-big-picture.html,issue,2026-04-16,2463,2026-Q2,yes,,
WNBA Players Make 116x Less Than NBA Players. That Number Is True. It’s Also the Wrong Comparison.,016-wnba-pay-maturity.txt,published/016-wnba-pay-maturity.html,issue,2026-04-17,1442,2026-Q2,yes,,
"Three HITs, One MISS , and a CBA That Arrived Right on Schedule",sunday-002.txt,published/sunday-002.html,issue,2026-04-19,1921,2026-Q2,yes,,
Tennessee Lost Every Single Player. But Which Sport Collapses When It Loses Just One?,014-star-sensitivity.txt,published/014-star-sensitivity.html,issue,2026-04-20,1661,2026-Q2,yes,,
The WNBA and MLS Were Born the Same Year. One Pays $584K . The Other Pays $633K . Guess Which Is Which.,017-wnba-soccer-comparison.txt,published/017-wnba-soccer-comparison.html,issue,2026-04-20,1282,2026-Q2,yes,,
Want to Know If the Mets Lost? Check the S&P 500. (Please Don’t.),019-spurious-correlation.txt,published/019-spurious-correlation.html,issue,2026-04-21,1790,2026-Q2,yes,,
"Fifty Years, One Hall of Famer , and a 28% Rate at the Top of the Draft",020-jets-first-round-busts.txt,published/020-jets-first-round-busts.html,issue,2026-04-22,1498,2026-Q2,yes,,
"The 2026 Mets Are 7-14. The Math Is Unhappy , Not Final.",023-mets-slow-start.txt,published/023-mets-slow-start.html,issue,2026-04-23,733,2026-Q2,yes,,
"Same Stadium, Different Drafts : Jets vs. Giants, 50 Years In",021-draft-hit-rate-jets-giants.txt,published/021-draft-hit-rate-jets-giants.html,issue,2026-04-24,1040,2026-Q2,yes,,
"The Mets Diaspora: Three Years of Departures , One Ongoing Indictment",024-mets-diaspora.txt,published/024-mets-diaspora.html,issue,2026-04-25,733,2026-Q2,yes,,
The Streak Broke. Soto’s Back. Lindor’s Hurt. The Math Doesn’t Care.,sunday-003.txt,published/sunday-003.html,issue,2026-04-26,1372,2026-Q2,yes,,
When We Know a Player or Coach Is a Bust,025-signal-horizon.txt,published/025-signal-horizon.html,issue,2026-04-27,756,2026-Q2,yes,,
The Just-Noticeable Difference in College Football Rankings Is 13,022-cfb-jnd-rankings.txt,published/022-cfb-jnd-rankings.html,issue,2026-04-28,1257,2026-Q2,yes,,
Three Definitions of a Bust,020-jets-first-round-busts-deeper.txt,published/020-jets-first-round-busts-deeper.html,issue,2026-04-29,1440,2026-Q2,yes,no date in datebar; used git,yes
How We Fit the CFB JND Curve,022-cfb-jnd-rankings-deeper.txt,published/022-cfb-jnd-rankings-deeper.html,issue,2026-04-29,1395,2026-Q2,yes,no date in datebar; used git,yes
When the Number Starts to Mean Something,026-stabilization-thresholds.txt,published/026-stabilization-thresholds.html,issue,2026-04-29,576,2026-Q2,yes,,
The JUCO Detour: College Baseball’s Portal Workaround Is Already Here,eo-006-juco-detour.txt,published/eo-006-juco-detour.html,issue,2026-04-30,1826,2026-Q2,yes,,
You Can’t Choose Your Allegiances Unless You’re a Rat. Here’s What 54 Years of Loyalty Has Cost.,015-fan-misery-map.txt,published/015-fan-misery-map.html,issue,2026-05-01,897,2026-Q2,yes,,
Conditional Probability and the Inverse Fallacy,027-mets-conditional-probability-deeper.txt,published/027-mets-conditional-probability-deeper.html,issue,2026-05-02,1491,2026-Q2,yes,no date in datebar; used git,yes
The Mets Are 10-21. The Question Isn’t How Bad . It’s What Bad Means .,027-mets-conditional-probability.txt,published/027-mets-conditional-probability.html,issue,2026-05-02,1223,2026-Q2,yes,,
"The Week in Reference Cards: One Old Forecast Home, One New Variable, and a Mets Win That Proves Nothing",sunday-004.txt,published/sunday-004.html,issue,2026-05-03,2153,2026-Q2,yes,,
Year One Tells You 60% of Everything You’ll Ever Know About a Coach,029-cfb-coaching-stabilization.txt,published/029-cfb-coaching-stabilization.html,issue,2026-05-04,895,2026-Q2,yes,,
"The Mets’ Next 17 Games, Mapped .",028-mets-next-17-games.txt,published/028-mets-next-17-games.html,issue,2026-05-05,928,2026-Q2,yes,,
The Jets Have Drafted One Hall of Famer in Fifty Years. So Have Twelve Other Teams.,031-hof-harvest-32-teams.txt,published/031-hof-harvest-32-teams.html,issue,2026-05-06,1190,2026-Q2,yes,,
"Mason Miller Is Spectacular. He Is Not , Yet, the Most Unhittable Pitcher Who Ever Lived.",030-mason-miller-unhittable.txt,published/030-mason-miller-unhittable.html,issue,2026-05-07,1248,2026-Q2,yes,,
The Jets Are 25th in Triple-Bust Rate. They Are Also 10th in Clean-Hit Rate.,032-bust-leaderboard-32-teams.txt,published/032-bust-leaderboard-32-teams.html,issue,2026-05-08,1350,2026-Q2,yes,,
"Why Variance Matters, and Why Composite Indices Beat Single Stats",034-owner-hall-of-fame-shame-deeper.txt,published/034-owner-hall-of-fame-shame-deeper.html,issue,2026-05-09,1587,2026-Q2,yes,no date in datebar; used git,yes
The Hall of Fame and Hall of Shame of American Sports Owners.,034-owner-hall-of-fame-shame.txt,published/034-owner-hall-of-fame-shame.html,issue,2026-05-09,1420,2026-Q2,yes,,
"Six Issues, Eight Games, and a Model That Underestimated the Mets.",sunday-005.txt,published/sunday-005.html,issue,2026-05-10,1454,2026-Q2,yes,,
The Jets Are the NFL’s Second-Worst Drafters in Rounds 1-3. The Worst Are the Patriots. The Patriots Won Six Super Bowls.,033-rounds-1-3-vs-4-7.txt,published/033-rounds-1-3-vs-4-7.html,issue,2026-05-11,1350,2026-Q2,yes,,
The Mets Paid $51 Million for the 0.33-ERA Devin Williams. He Was Never Coming Back.,035-devin-williams-collapse.txt,published/035-devin-williams-collapse.html,issue,2026-05-12,1238,2026-Q2,yes,,
Notre Dame Took Seven from the Portal. One Thousand Two Hundred Other Players Have Nowhere to Go.,041-portal-locked-rosters.txt,published/041-portal-locked-rosters.html,issue,2026-05-13,1152,2026-Q2,yes,,
The Rockies Have Never Won the West. Nobody’s Mad About It.,037-nobody-hates-rockies.txt,published/037-nobody-hates-rockies.html,issue,2026-05-14,1506,2026-Q2,yes,,
"The Cost of a Win, and Why That Sentence Is Mostly a Lie.",036-cost-per-win.txt,published/036-cost-per-win.html,issue,2026-05-15,1742,2026-Q2,yes,,
Seventeen to Two: The Rivalry Where One Side Stopped Showing Up Years Ago .,038-mets-braves-asymmetry.txt,published/038-mets-braves-asymmetry.html,issue,2026-05-16,1376,2026-Q2,yes,,
"Fifty Issues, Fifty Lessons, and One Federal Coinage We Repurposed for Ourselves.",sunday-006.txt,published/sunday-006.html,issue,2026-05-17,2988,2026-Q2,yes,,
"Three Lies, Thirty Dots.",040-three-lies-scatter-plot.txt,published/040-three-lies-scatter-plot.html,issue,2026-05-18,1555,2026-Q2,yes,,
What the Mets Need from Here Is Not a Miracle. It Is Their Preseason Projection.,043-mets-wild-card-math.txt,published/043-mets-wild-card-math.html,issue,2026-05-19,1558,2026-Q2,yes,,
Do Patient Teams Win More Games? Chris Kelly Asks. The Math Says: Not Really.,042-plate-discipline-r07.txt,published/042-plate-discipline-r07.html,issue,2026-05-20,1255,2026-Q2,yes,,
The Mets Bought Two Closers. Both Are Broken.,039-mets-bullpen-eighth.txt,published/039-mets-bullpen-eighth.html,issue,2026-05-21,1037,2026-Q2,yes,,
A Five-Game Lead at Season’s End Is Statistical Noise. Here’s the Math.,044-significance-chi-square-part-1.txt,published/044-significance-chi-square-part-1.html,issue,2026-05-22,1855,2026-Q2,yes,,
Carolina Is 8–0 in the Playoffs. That Has Never Happened in This Format Before.,046-hurricanes-eight-zero.txt,published/046-hurricanes-eight-zero.html,issue,2026-05-23,1394,2026-Q2,yes,,
The Mets Are 22–29. The Hurricanes Lost a Game. Memorial Day Weekend.,sunday-007.txt,published/sunday-007.html,issue,2026-05-24,2674,2026-Q2,yes,,
Marcus Freeman Won the Portal. Then He Started On 2027.,047-notre-dame-recruiting.txt,published/047-notre-dame-recruiting.html,issue,2026-05-25,2155,2026-Q2,yes,,
Bill James Says the Mets Should Be 22–24. The Bigger Story Is What That Means Over 162.,048-pythagorean-mets.txt,published/048-pythagorean-mets.html,issue,2026-05-26,1536,2026-Q2,yes,,
Past the Pythagorean. BaseRuns Asks the Harder Question.,051-baseruns-mets.txt,published/051-baseruns-mets.html,issue,2026-05-27,1532,2026-Q2,yes,,
"Forty, Fifty-Seven, Thirty-Two. The Other City Has Forty-Nine.",049-misery-index-ny-dc.txt,published/049-misery-index-ny-dc.html,issue,2026-05-28,1550,2026-Q2,yes,,
"The Tiebreaker Pretends to Add Data. Instead, It Adds Noise.",045-significance-tiebreaker-part-2.txt,published/045-significance-tiebreaker-part-2.html,issue,2026-05-29,1917,2026-Q2,yes,,
Zero for Thirty-Eight. Then a Shower. Then the IL.,053-raleigh-slump-shower-oblique.txt,published/053-raleigh-slump-shower-oblique.html,issue,2026-05-30,1420,2026-Q2,yes,,
The Doctors Said May. The Calendar Says May. The Players Say Otherwise.,sunday-008.txt,published/sunday-008.html,issue,2026-05-31,2746,2026-Q2,yes,,
"One More Such Victory, and the Jets Are Undone.",056-pyrrhic-1-jets-trevor.txt,published/056-pyrrhic-1-jets-trevor.html,issue,2026-06-01,1643,2026-Q2,yes,,
Pre-Season Simulation: A Framework for Forecasts That Are Honestly Wrong.,052-preseason-sim-framework.txt,published/052-preseason-sim-framework.html,issue,2026-06-02,1421,2026-Q2,yes,,
Jerry Dipoto Said You Play 54% Baseball to Make the Playoffs. The Math Says: Sometimes.,054-mariners-54-percent.txt,published/054-mariners-54-percent.html,issue,2026-06-03,1391,2026-Q2,yes,,
Why Every Baseball Superstition Looks Like It Worked.,055-superstition-baseball-math.txt,published/055-superstition-baseball-math.html,issue,2026-06-04,1669,2026-Q2,yes,,
Vegas Did Something No Road Team Had Ever Done in a Cup Final. The Real Question Is How Much It Matters.,062-cup-final-game1.txt,published/062-cup-final-game1.html,issue,2026-06-05,1032,2026-Q2,yes,,
Notre Dame Just Bought the Sixth Most Expensive Roster in College Football. Here’s What $40.4 Million Actually Buys.,063-nd-roster-value.txt,published/063-nd-roster-value.html,issue,2026-06-06,1819,2026-Q2,yes,,
Marner Scored Three in Six Minutes. Carolina Answered With Three in Under One. The Scorecard Is Still Waiting .,sunday-009.txt,published/sunday-009.html,issue,2026-06-07,2376,2026-Q2,yes,,
The Sabres Did the Tank Perfectly. The Lottery Did Not Care.,057-pyrrhic-2-sabres-mcdavid.txt,published/057-pyrrhic-2-sabres-mcdavid.html,issue,2026-06-08,1803,2026-Q2,yes,,
The Bobcats Set a Record That Should Have Won Them Anthony Davis. Tantalus Disagreed.,058-pyrrhic-3-bobcats-davis.txt,published/058-pyrrhic-3-bobcats-davis.html,issue,2026-06-09,1497,2026-Q2,yes,,
The Astros Won the Tank. Baseball Lost the Decade.,059-pyrrhic-4-astros-mlb-commons.txt,published/059-pyrrhic-4-astros-mlb-commons.html,issue,2026-06-10,1682,2026-Q2,yes,,
Cincinnati Was Named After a Man Who Refused to Stay in Power. Five Straight Coaches Did Not Get the Message.,066-pyrrhic-5-cincinnati.txt,published/066-pyrrhic-5-cincinnati.html,issue,2026-06-11,1747,2026-Q2,yes,,
Juan Soto Is 94 Spots From Help. That Number Is Lying to You.,065-soto-least-supported.txt,published/065-soto-least-supported.html,issue,2026-06-12,1448,2026-Q2,yes,,
We Made an Inference Error Yesterday. Three More Are in Your Sports Feed Right Now.,068-defensive-reader-1-temporal.txt,published/068-defensive-reader-1-temporal.html,issue,2026-06-13,1722,2026-Q2,yes,,
Carolina Leads 3–2. The 75% Comp Spent Last Week at 31%. It’s Back.,sunday-010.txt,published/sunday-010.html,issue,2026-06-14,2443,2026-Q2,yes,,
How Do You Win Eight Straight and Then Lose by Six? You Build an Offense Designed to Do Exactly That.,064-mariners-streak.txt,published/064-mariners-streak.html,issue,2026-06-15,1045,2026-Q2,yes,,
Base Rate,concept-base-rate.txt,concepts/base-rate.html,primer,2026-06-15,831,2026-Q2,yes,no datebar (by design for primers); date from git,
Bayesian Inference,concept-bayesian-inference.txt,concepts/bayesian-inference.html,primer,2026-06-15,989,2026-Q2,yes,no datebar (by design for primers); date from git,
Conditioning on the Consequence,concept-conditioning-on-the-consequence.txt,concepts/conditioning-on-the-consequence.html,primer,2026-06-15,1035,2026-Q2,yes,no datebar (by design for primers); date from git,
Confirmation Bias,concept-confirmation-bias.txt,concepts/confirmation-bias.html,primer,2026-06-15,877,2026-Q2,yes,no datebar (by design for primers); date from git,
Counterfactuals,concept-counterfactuals.txt,concepts/counterfactuals.html,primer,2026-06-15,1001,2026-Q2,yes,no datebar (by design for primers); date from git,
P-Value,concept-p-value.txt,concepts/p-value.html,primer,2026-06-15,967,2026-Q2,yes,no datebar (by design for primers); date from git,
Pearson Correlation,concept-pearson-correlation.txt,concepts/pearson-correlation.html,primer,2026-06-15,1002,2026-Q2,yes,no datebar (by design for primers); date from git,
Post Hoc Ergo Propter Hoc,concept-post-hoc.txt,concepts/post-hoc.html,primer,2026-06-15,939,2026-Q2,yes,no datebar (by design for primers); date from git,
Precision vs. Accuracy,concept-precision-vs-accuracy.txt,concepts/precision-vs-accuracy.html,primer,2026-06-15,837,2026-Q2,yes,no datebar (by design for primers); date from git,
Regression to the Mean,concept-regression-to-the-mean.txt,concepts/regression-to-the-mean.html,primer,2026-06-15,1066,2026-Q2,yes,no datebar (by design for primers); date from git,
Sample Size,concept-sample-size.txt,concepts/sample-size.html,primer,2026-06-15,1011,2026-Q2,yes,no datebar (by design for primers); date from git,
Survivorship Bias,concept-survivorship-bias.txt,concepts/survivorship-bias.html,primer,2026-06-15,943,2026-Q2,yes,no datebar (by design for primers); date from git,
Two Trophies. Same Record. Twenty-Four Hours Apart.,082-sixteen-and-three.txt,published/082-sixteen-and-three.html,issue,2026-06-16,1200,2026-Q2,yes,,
What 'Banned' Used to Mean. A Lubbock County Judge Just Showed What It Means Now.,083-ncaa-enforcement-collapse.txt,published/083-ncaa-enforcement-collapse.html,issue,2026-06-17,1098,2026-Q2,yes,,
Steve Cohen Has Sold Before. The Data Mostly Agrees with Him.,060-mets-sell-or-hold.txt,published/060-mets-sell-or-hold.html,issue,2026-06-18,1877,2026-Q2,yes,,
"When the Refs Stop Refereeing, the Players Try to Become the Refs. The Math Says They Run Out of Energy.",084-peer-enforcement.txt,published/084-peer-enforcement.html,issue,2026-06-19,1385,2026-Q2,yes,,
Necessary vs. Sufficient,concept-necessary-vs-sufficient.txt,concepts/necessary-vs-sufficient.html,primer,2026-06-19,826,2026-Q2,yes,no datebar (by design for primers); date from git,
Money Buys Wins in Baseball. Just Not Very Many.,061-mlb-money-buys-wins.txt,published/061-mlb-money-buys-wins.html,issue,2026-06-20,1588,2026-Q2,yes,,
"The Prior Was Right to Wait: Two Droughts End, and a 75% Bayesian Call Pays Off",sunday-011.txt,published/sunday-011.html,issue,2026-06-21,2126,2026-Q2,yes,,
The High School Has More Authority Than the NCAA. Here Is Why.,085-hs-still-holds.txt,published/085-hs-still-holds.html,issue,2026-06-22,1348,2026-Q2,yes,,
The Colts Lost Fourteen Games on Purpose. They Won the Next Decade.,069-pyrrhic-6-colts-luck.txt,published/069-pyrrhic-6-colts-luck.html,issue,2026-06-23,1661,2026-Q2,yes,,
The Texas Longhorns Spent the Most. Notre Dame Was the Story.,067-nd-outrage-asymmetry.txt,published/067-nd-outrage-asymmetry.html,issue,2026-06-24,1196,2026-Q2,yes,,
Abraham Wald Looked at the Planes That Came Back. Sports Media Almost Never Does.,070-defensive-reader-2-survivorship.txt,published/070-defensive-reader-2-survivorship.html,issue,2026-06-25,1805,2026-Q2,yes,,
The Mets Scored 14 Runs in Three Games. Dansby Swanson Drove In 15 by Himself.,089-mets-swanson-collapse.txt,published/089-mets-swanson-collapse.html,issue,2026-06-26,1316,2026-Q2,yes,,
Russell Wilson Can’t Play With a Featured Back. He Won a Super Bowl Behind One.,087-wilson-featured-back.txt,published/087-wilson-featured-back.html,issue,2026-06-27,1538,2026-Q2,yes,,
Issue #90 Ran the Autopsy. Mendoza Was Fired That Night.,sunday-012.txt,published/sunday-012.html,issue,2026-06-28,2273,2026-Q2,yes,,
A Career Doesn't Decline . It Disappears.,071-half-life-1-framework.txt,published/071-half-life-1-framework.html,issue,2026-06-29,1629,2026-Q2,yes,,
For Twenty Years You Couldn’t Win the Title Without Elite Recruits. Indiana Won It With an 8% Blue-Chip Ratio.,091-cfb-rules-broke.txt,published/091-cfb-rules-broke.html,issue,2026-06-30,1399,2026-Q2,yes,,
"Every Team Has a Shape. The Mets' Shape Is Soto, Alone.",072-team-clustering.txt,published/072-team-clustering.html,issue,2026-07-01,1163,2026-Q3,yes,,
New Teams Are Supposed to Lose for Years. Las Vegas Won Three Titles in Twenty-Four Months.,093-vegas-expansion-curse.txt,published/093-vegas-expansion-curse.html,issue,2026-07-02,1202,2026-Q3,yes,,
We Searched 65 Years of NBA Legends for Caitlin Clark’s Twin. The Math Chose Oscar Robertson.,090-clark-distance-match.txt,published/090-clark-distance-match.html,issue,2026-07-03,1516,2026-Q3,yes,,
Host Nations Reach the World Cup Semifinals 59% of the Time. America Is Hosting on Its 250th Birthday.,094-usa-250-worldcup.txt,published/094-usa-250-worldcup.html,issue,2026-07-04,1183,2026-Q3,yes,,
The Ticket Said Sold. The Section Said Empty. — The Sports Page,sunday-013.txt,published/sunday-013.html,issue,2026-07-05,3054,2026-Q3,yes,,
Bank of America Says 2026 Is 1994 . Baseball Says 2026 Is 2021 .,073-analog-year-2021.txt,published/073-analog-year-2021.html,issue,2026-07-06,1690,2026-Q3,yes,,
The Mets Are Seventy Times More Predictable Than the Snow .,074-predictability.txt,published/074-predictability.html,issue,2026-07-07,1216,2026-Q3,yes,,
"By the Numbers, the Mets Are the 2012 Mariners. By Strategy, They Have a Choice.",076-mets-analog.txt,published/076-mets-analog.html,issue,2026-07-08,1386,2026-Q3,yes,,
A Fair Fight Was Asked For. We Ran Two. Snow Lost Both.,075-prediction-frameworks.txt,published/075-prediction-frameworks.html,issue,2026-07-09,1445,2026-Q3,yes,,
Notre Dame Is Building a Contender. That Is Not the Same as Building Alabama.,086-nd-dynasty-test.txt,published/086-nd-dynasty-test.html,issue,2026-07-10,1380,2026-Q3,yes,,
Five Teams Have Looked Like the 2026 Astros. None Of Them Were Still a Dynasty.,077-astros-analog.txt,published/077-astros-analog.html,issue,2026-07-11,1207,2026-Q3,yes,,
"A Framework Week: Six Tools Built, Zero Bets Placed — The Sports Page",sunday-014.txt,published/sunday-014.html,issue,2026-07-12,1836,2026-Q3,yes,,
The NBA's Last Year Is Worth a +65. The Pacific Northwest's La Niña Is Worth a Minus 19.,078-cross-sport-persistence.txt,published/078-cross-sport-persistence.html,issue,2026-07-13,1663,2026-Q3,yes,,
"For One Year, the Trophy Was Always Somebody's. That Year Was 1986.",098-1986-mets-year.txt,published/098-1986-mets-year.html,issue,2026-07-14,1644,2026-Q3,yes,,
"Notre Dame Came Within a Game of the Title, Then Returned More of Its Roster Than Anyone in the Country. We’re Calling the Dynasty.",092-nd-dynasty-call.txt,published/092-nd-dynasty-call.html,issue,2026-07-15,1385,2026-Q3,yes,,
"At the Break, the Standings Lie Politely. The Second Derivative Doesn't.",097-acceleration-second-derivative.txt,published/097-acceleration-second-derivative.html,issue,2026-07-16,1660,2026-Q3,yes,,
Every Model Is Wrong. The Useful Ones Know It.,concept-all-models-are-wrong.txt,concepts/all-models-are-wrong.html,primer,2026-07-16,776,2026-Q3,yes,no datebar (by design for primers); date from git,
Your Forecast Broke. Which of Three Things Do You Stop Believing?,concept-believe-data-model-theory.txt,concepts/believe-data-model-theory.html,primer,2026-07-16,781,2026-Q3,yes,no datebar (by design for primers); date from git,
You Don't Find a Metric. You Build One.,concept-measurement-building-a-metric.txt,concepts/measurement-building-a-metric.html,primer,2026-07-16,864,2026-Q3,yes,no datebar (by design for primers); date from git,
The Math Said She Was Oscar Robertson. Then We Handed Him a Three-Point Line.,099-clark-three-dimension.txt,published/099-clark-three-dimension.html,issue,2026-07-17,1428,2026-Q3,yes,,
A Decimal Is a Promise. Don’t Make One You Can’t Keep.,concept-communicating-uncertainty.txt,concepts/communicating-uncertainty.html,primer,2026-07-17,609,2026-Q3,yes,no datebar (by design for primers); date from git,
Sometimes the Dumb Rule Beats the Smart Model.,concept-heuristics-and-ecological-rationality.txt,concepts/heuristics-and-ecological-rationality.html,primer,2026-07-17,756,2026-Q3,yes,no datebar (by design for primers); date from git,
You Can’t Fix a Broken Study With a Better Formula.,concept-research-design.txt,concepts/research-design.html,primer,2026-07-17,664,2026-Q3,yes,no datebar (by design for primers); date from git,
"Forty Summers Ago, Fernando Valenzuela Struck Out Five Straight All-Stars. He Was Only the Second Man Ever to Do It.",095-allstar-screwball.txt,published/095-allstar-screwball.html,issue,2026-07-18,1112,2026-Q3,yes,,
The Blowout Told You Nothing. The Coin-Flip Told You Everything.,concept-information-and-surprise.txt,concepts/information-and-surprise.html,primer,2026-07-19,709,2026-Q3,yes,no datebar (by design for primers); date from git,
We Called Our Shot. Now We Wait for South Bend.,sunday-015.txt,published/sunday-015.html,issue,2026-07-19,1946,2026-Q3,yes,,
The Diamond in the Rough Is Mostly Rough.,096-mets-diamonds-rough.txt,published/096-mets-diamonds-rough.html,issue,2026-07-20,1482,2026-Q3,yes,,
A Champion Needs 50% Blue-Chip Talent. Indiana Won With 8%.,101-cfb-maturity-wins.txt,published/101-cfb-maturity-wins.html,issue,2026-07-21,1320,2026-Q3,yes,,
Where It Is. Where It’s Going. And Whether That’s About to Change.,concept-rates-of-change.txt,concepts/rates-of-change.html,primer,2026-07-21,794,2026-Q3,yes,no datebar (by design for primers); date from git,
A Pitcher Gets the Win. But Winning Isn’t His to Get.,concept-unit-of-analysis.txt,concepts/unit-of-analysis.html,primer,2026-07-21,719,2026-Q3,yes,no datebar (by design for primers); date from git,
Eight Teams Have Quit. The Other Twenty-Two Are About to Overpay.,100-deadline-sellers-market.txt,published/100-deadline-sellers-market.html,issue,2026-07-22,1092,2026-Q3,yes,,
The Smallest Places Always Win the Rankings. And Always Lose Them Too.,concept-denominator-problem.txt,concepts/denominator-problem.html,primer,2026-07-22,838,2026-Q3,yes,no datebar (by design for primers); date from git,
"Before You Optimize Anything, Say Out Loud What You Are Maximizing.",concept-objective-function.txt,concepts/objective-function.html,primer,2026-07-22,852,2026-Q3,yes,no datebar (by design for primers); date from git,
The Average Tells You Where. Only the Variance Tells You Who Wins.,concept-variance.txt,concepts/variance.html,primer,2026-07-22,776,2026-Q3,yes,no datebar (by design for primers); date from git,
Twelve Playoff Spots. Five Real Title Threats. The 2026 Contender Board.,102-cfb-contender-board.txt,published/102-cfb-contender-board.html,issue,2026-07-23,999,2026-Q3,yes,,
The Royals Won Two. The Mets Won One. The Mets Spent $830 Million More.,114-mets-royals-cost-per-title.txt,published/114-mets-royals-cost-per-title.html,issue,2026-07-24,1726,2026-Q3,yes,,
Every NFL Team Spends the Same. The Jets Still Can't Find January.,108-nfl-own-mean.txt,published/108-nfl-own-mean.html,issue,2026-07-25,1180,2026-Q3,yes,,
"Six Issues, Four Open Predictions, and Five Days to the Deadline",sunday-016.txt,published/sunday-016.html,issue,2026-07-26,1972,2026-Q3,yes,,
The Standings Say the Mets Should Bounce Back. The Franchise Says Otherwise.,107-mets-own-mean.txt,published/107-mets-own-mean.html,issue,2026-07-27,1105,2026-Q3,yes,,
The Line on Ohio State-Texas Is 1.5 Points. That Is the Schedule Telling You Which Saturday Matters.,105-cfb-weeks-that-matter.txt,published/105-cfb-weeks-that-matter.html,issue,2026-07-28,1170,2026-Q3,yes,,
The Cubs Waited 108 Years. The Red Sox 86. The Same Man Ended Both.,111-drought-breaks.txt,published/111-drought-breaks.html,issue,2026-07-29,1101,2026-Q3,yes,,
"They Called It a Fool's Errand. Then They Ranked 138 Quarterbacks, 1 Through 138.",110-qb-tiers-critique.txt,published/110-qb-tiers-critique.html,issue,2026-07-30,1370,2026-Q3,yes,,
Twenty-Six Franchises. Not One of Them Runs in Cycles.,115-no-such-thing-as-a-cycle.txt,published/115-no-such-thing-as-a-cycle.html,issue,2026-07-31,1387,2026-Q3,yes,,
A Good Week From Your Receiver Is 10x a Bad One. That's Where the Season Is Decided.,112-variance-is-king.txt,published/112-variance-is-king.html,issue,2026-08-01,1279,2026-Q3,yes,,
Every Number Is Part Skill and Part Luck. The Trick Is Knowing How Much of Each.,concept-signal-vs-noise.txt,concepts/signal-vs-noise.html,primer,2026-08-01,900,2026-Q3,yes,no datebar (by design for primers); date from git,
