title,filename,published,words
"The Mets’ Next 17 Games, Mapped .",028-mets-next-17-games.txt,2026-05-05,928
The Jets Have Drafted One Hall of Famer in Fifty Years. So Have Twelve Other Teams.,031-hof-harvest-32-teams.txt,2026-05-06,1190
"Mason Miller Is Spectacular. He Is Not , Yet, the Most Unhittable Pitcher Who Ever Lived.",030-mason-miller-unhittable.txt,2026-05-07,1248
The Jets Are 25th in Triple-Bust Rate. They Are Also 10th in Clean-Hit Rate.,032-bust-leaderboard-32-teams.txt,2026-05-08,1350
"Why Variance Matters, and Why Composite Indices Beat Single Stats",034-owner-hall-of-fame-shame-deeper.txt,2026-05-09,1587
The Hall of Fame and Hall of Shame of American Sports Owners.,034-owner-hall-of-fame-shame.txt,2026-05-09,1420
"Six Issues, Eight Games, and a Model That Underestimated the Mets.",sunday-005.txt,2026-05-10,1454
The Jets Are the NFL’s Second-Worst Drafters in Rounds 1-3. The Worst Are the Patriots. The Patriots Won Six Super Bowls.,033-rounds-1-3-vs-4-7.txt,2026-05-11,1350
The Mets Paid $51 Million for the 0.33-ERA Devin Williams. He Was Never Coming Back.,035-devin-williams-collapse.txt,2026-05-12,1238
Notre Dame Took Seven from the Portal. One Thousand Two Hundred Other Players Have Nowhere to Go.,041-portal-locked-rosters.txt,2026-05-13,1152
The Rockies Have Never Won the West. Nobody’s Mad About It.,037-nobody-hates-rockies.txt,2026-05-14,1506
"The Cost of a Win, and Why That Sentence Is Mostly a Lie.",036-cost-per-win.txt,2026-05-15,1742
