title,filename,published,words
You Don't Find a Metric. You Build One.,concept-measurement-building-a-metric.txt,2026-07-16,864
The Math Said She Was Oscar Robertson. Then We Handed Him a Three-Point Line.,099-clark-three-dimension.txt,2026-07-17,1428
A Decimal Is a Promise. Don’t Make One You Can’t Keep.,concept-communicating-uncertainty.txt,2026-07-17,609
Sometimes the Dumb Rule Beats the Smart Model.,concept-heuristics-and-ecological-rationality.txt,2026-07-17,756
You Can’t Fix a Broken Study With a Better Formula.,concept-research-design.txt,2026-07-17,664
"Forty Summers Ago, Fernando Valenzuela Struck Out Five Straight All-Stars. He Was Only the Second Man Ever to Do It.",095-allstar-screwball.txt,2026-07-18,1112
The Blowout Told You Nothing. The Coin-Flip Told You Everything.,concept-information-and-surprise.txt,2026-07-19,709
We Called Our Shot. Now We Wait for South Bend.,sunday-015.txt,2026-07-19,1946
The Diamond in the Rough Is Mostly Rough.,096-mets-diamonds-rough.txt,2026-07-20,1482
A Champion Needs 50% Blue-Chip Talent. Indiana Won With 8%.,101-cfb-maturity-wins.txt,2026-07-21,1320
Where It Is. Where It’s Going. And Whether That’s About to Change.,concept-rates-of-change.txt,2026-07-21,794
A Pitcher Gets the Win. But Winning Isn’t His to Get.,concept-unit-of-analysis.txt,2026-07-21,719
Eight Teams Have Quit. The Other Twenty-Two Are About to Overpay.,100-deadline-sellers-market.txt,2026-07-22,1092
The Smallest Places Always Win the Rankings. And Always Lose Them Too.,concept-denominator-problem.txt,2026-07-22,838
"Before You Optimize Anything, Say Out Loud What You Are Maximizing.",concept-objective-function.txt,2026-07-22,852
The Average Tells You Where. Only the Variance Tells You Who Wins.,concept-variance.txt,2026-07-22,776
Twelve Playoff Spots. Five Real Title Threats. The 2026 Contender Board.,102-cfb-contender-board.txt,2026-07-23,999
The Royals Won Two. The Mets Won One. The Mets Spent $830 Million More.,114-mets-royals-cost-per-title.txt,2026-07-24,1726
Every NFL Team Spends the Same. The Jets Still Can't Find January.,108-nfl-own-mean.txt,2026-07-25,1180
"Six Issues, Four Open Predictions, and Five Days to the Deadline",sunday-016.txt,2026-07-26,1972
The Standings Say the Mets Should Bounce Back. The Franchise Says Otherwise.,107-mets-own-mean.txt,2026-07-27,1105
The Line on Ohio State-Texas Is 1.5 Points. That Is the Schedule Telling You Which Saturday Matters.,105-cfb-weeks-that-matter.txt,2026-07-28,1170
The Cubs Waited 108 Years. The Red Sox 86. The Same Man Ended Both.,111-drought-breaks.txt,2026-07-29,1101
"They Called It a Fool's Errand. Then They Ranked 138 Quarterbacks, 1 Through 138.",110-qb-tiers-critique.txt,2026-07-30,1370
Twenty-Six Franchises. Not One of Them Runs in Cycles.,115-no-such-thing-as-a-cycle.txt,2026-07-31,1387
A Good Week From Your Receiver Is 10x a Bad One. That's Where the Season Is Decided.,112-variance-is-king.txt,2026-08-01,1279
Every Number Is Part Skill and Part Luck. The Trick Is Knowing How Much of Each.,concept-signal-vs-noise.txt,2026-08-01,900
The Deadline Came. The Mets Sold. The Scorecard Pays.,sunday-017.txt,2026-08-02,2207
The Pitcher We Started With Is 'Struggling.' The Numbers That Matter Say He Isn't.,125-skenes-full-circle.txt,2026-08-03,1444
The Radar Gun Knows Before the ERA Does,126-which-numbers-predict.txt,2026-08-04,1198
Detroit Traded the Best Pitcher in Baseball While Two and a Half Games Out. It Cost Them One Percentage Point.,127-two-months-of-an-ace.txt,2026-08-05,1083
Indiana Just Won It All. Its Four-Year Average Still Says .500.,109-cfb-trajectories.txt,2026-08-06,1162
